Date,New Users
2000-01-01,6
2001-01-01,59
2001-01-02,1
2001-01-15,1
2001-01-21,1
2001-03-10,1
2001-03-12,1
2001-04-02,1
2001-04-06,1
2001-04-09,1
2001-04-17,1
2001-04-26,1
2001-04-28,1
2001-04-29,1
2001-05-15,1
2001-05-28,1
2001-06-08,1
2001-06-12,1
2001-06-13,1
2001-06-21,1
2001-06-23,1
2001-06-25,1
2001-07-01,1
2001-07-03,1
2001-07-11,1
2001-07-15,1
2001-07-21,1
2001-07-22,1
2001-07-23,1
2001-07-28,1
2001-07-30,3
2001-07-31,2
2001-08-01,2
2001-08-08,1
2001-08-12,2
2001-08-13,1
2001-08-19,2
2001-08-21,1
2001-08-24,2
2001-08-25,1
2001-08-31,1
2001-09-01,1
2001-09-03,1
2001-09-04,1
2001-09-09,1
2001-09-11,1
2001-09-13,3
2001-09-15,1
2001-09-19,1
2001-09-20,2
2001-09-22,1
2001-09-27,1
2001-09-30,1
2001-10-01,1
2001-10-04,1
2001-10-05,1
2001-10-06,2
2001-10-15,2
2001-10-20,1
2001-10-21,1
2001-10-31,1
2001-11-01,2
2001-11-03,1
2001-11-05,1
2001-11-06,1
2001-11-10,1
2001-11-11,1
2001-11-14,2
2001-11-18,1
2001-11-21,1
2001-11-25,1
2001-11-27,1
2001-12-01,2
2001-12-10,1
2001-12-11,1
2001-12-18,1
2001-12-19,1
2001-12-21,2
2001-12-27,1
2002-01-01,17
2002-01-05,1
2002-02-02,1
2002-02-19,1
2002-02-27,1
2002-03-01,2
2002-03-03,1
2002-03-06,1
2002-03-12,1
2002-03-13,1
2002-03-25,1
2002-04-03,1
2002-04-05,1
2002-04-06,1
2002-04-09,2
2002-04-10,1
2002-04-14,1
2002-04-15,1
2002-04-19,2
2002-04-25,1
2002-04-27,1
2002-04-28,1
2002-05-02,1
2002-05-03,1
2002-05-05,1
2002-05-06,2
2002-05-07,1
2002-05-08,1
2002-05-13,1
2002-05-14,2
2002-05-18,1
2002-05-19,1
2002-05-21,1
2002-05-28,1
2002-05-29,1
2002-06-01,2
2002-06-08,1
2002-06-10,1
2002-06-11,1
2002-06-26,1
2002-06-29,1
2002-06-30,1
2002-07-01,2
2002-07-05,1
2002-07-06,1
2002-07-09,1
2002-07-10,1
2002-07-12,1
2002-07-13,1
2002-07-14,1
2002-07-15,1
2002-07-16,1
2002-07-19,1
2002-07-20,2
2002-07-23,1
2002-07-26,1
2002-07-29,1
2002-08-01,3
2002-08-04,1
2002-08-08,1
2002-08-13,2
2002-08-14,2
2002-08-15,3
2002-08-20,1
2002-08-21,2
2002-08-28,1
2002-08-29,2
2002-09-01,2
2002-09-06,1
2002-09-09,1
2002-09-15,1
2002-09-16,1
2002-09-18,1
2002-09-23,1
2002-09-30,1
2002-10-01,2
2002-10-02,2
2002-10-07,1
2002-10-08,1
2002-10-13,1
2002-10-16,1
2002-10-17,1
2002-10-18,1
2002-10-19,2
2002-10-20,3
2002-10-21,1
2002-10-22,1
2002-10-24,1
2002-10-25,1
2002-10-29,1
2002-11-01,1
2002-11-06,1
2002-11-10,1
2002-11-13,1
2002-11-18,1
2002-11-20,1
2002-11-22,2
2002-11-23,1
2002-11-25,1
2002-11-27,1
2002-12-01,1
2002-12-04,2
